Color,Satisfaction,ID
Black,0.9,ID_1
Red,2.3,ID_2
White,2.9,ID_3
Black,1.7,ID_4
White,3.2,ID_5
White,2.9,ID_6
White,3.4,ID_7
White,3.4,ID_8
Red,1.8,ID_9
White,3.8,ID_10
Black,2.6,ID_11
White,2.6,ID_12
White,3.2,ID_13
Red,1.3,ID_14
Red,1.7,ID_15
White,2.9,ID_16
Black,2.1,ID_17
Red,2.2,ID_18
Red,2.3,ID_19
Red,1.5,ID_20
Red,2.1,ID_21
Red,1.7,ID_22
Black,1.7,ID_23
White,2.5,ID_24
Black,1.7,ID_25
White,2.9,ID_26
Black,1.1,ID_27
White,3.1,ID_28
Red,1.6,ID_29
Black,1.0,ID_30
Red,0.9,ID_31
White,3.1,ID_32
White,3.6,ID_33
White,4.3,ID_34
Black,2.5,ID_35
Red,1.6,ID_36
White,3.8,ID_37
White,3.6,ID_38
Red,1.4,ID_39
Black,1.3,ID_40
Red,1.5,ID_41
Black,0.8,ID_42
Black,1.4,ID_43
Black,1.9,ID_44
Red,1.5,ID_45
Black,1.2,ID_46
Red,1.5,ID_47
Black,1.4,ID_48
White,3.1,ID_49
Red,1.9,ID_50
Black,1.5,ID_51
Red,1.5,ID_52
White,3.4,ID_53
White,3.0,ID_54
Red,1.7,ID_55
Black,2.2,ID_56
White,2.8,ID_57
Black,1.2,ID_58
White,3.8,ID_59
Red,2.3,ID_60
Red,2.4,ID_61
Black,1.5,ID_62
White,3.0,ID_63
Black,2.6,ID_64
Red,0.8,ID_65
Red,1.8,ID_66
Black,2.2,ID_67
Red,2.8,ID_68
Red,1.1,ID_69
White,3.4,ID_70
White,2.6,ID_71
Black,1.8,ID_72
White,3.1,ID_73
Black,2.5,ID_74
White,3.6,ID_75
Black,2.2,ID_76
White,3.2,ID_77
Black,2.1,ID_78
Red,2.9,ID_79
Red,1.4,ID_80
Red,1.8,ID_81
Black,2.3,ID_82
White,3.3,ID_83
White,2.3,ID_84
Black,0.7,ID_85
Red,1.8,ID_86
Red,1.7,ID_87
Black,2.2,ID_88
Black,1.0,ID_89
Black,2.3,ID_90
