participant_id,round,move
1,1,1
1,2,0
1,3,2
1,4,1
1,5,0
1,6,2
1,7,1
1,8,0
1,9,1
1,10,2
1,11,1
1,12,0
1,13,2
1,14,0
1,15,1
1,16,2
1,17,1
1,18,0
1,19,0
1,20,1
1,21,0
1,22,0
1,23,2
1,24,1
1,25,1
1,26,2
1,27,0
1,28,2
1,29,1
1,30,0
1,31,2
1,32,1
1,33,0
1,34,2
1,35,1
1,36,1
1,37,0
1,38,2
1,39,1
1,40,1
1,41,1
1,42,0
1,43,1
1,44,2
1,45,1
1,46,0
1,47,1
1,48,2
1,49,1
1,50,2
2,1,0
2,2,2
2,3,1
2,4,1
2,5,0
2,6,2
2,7,1
2,8,1
2,9,0
2,10,0
2,11,2
2,12,2
2,13,1
2,14,2
2,15,0
2,16,1
2,17,0
2,18,2
2,19,1
2,20,0
2,21,2
2,22,1
2,23,0
2,24,1
2,25,1
2,26,1
2,27,0
2,28,0
2,29,1
2,30,2
2,31,1
2,32,0
2,33,1
2,34,2
2,35,0
2,36,1
2,37,2
2,38,1
2,39,0
2,40,2
2,41,2
2,42,2
2,43,2
2,44,2
2,45,2
2,46,1
2,47,1
2,48,1
2,49,1
2,50,0
3,1,1
3,2,0
3,3,1
3,4,2
3,5,0
3,6,1
3,7,2
3,8,2
3,9,1
3,10,1
3,11,0
3,12,2
3,13,2
3,14,1
3,15,2
3,16,0
3,17,2
3,18,2
3,19,0
3,20,2
3,21,0
3,22,2
3,23,1
3,24,2
3,25,0
3,26,2
3,27,1
3,28,0
3,29,2
3,30,1
3,31,1
3,32,2
3,33,1
3,34,2
3,35,0
3,36,2
3,37,2
3,38,1
3,39,2
3,40,0
3,41,2
3,42,2
3,43,2
3,44,1
3,45,2
3,46,0
3,47,2
3,48,1
3,49,1
3,50,2
4,1,0
4,2,1
4,3,2
4,4,2
4,5,2
4,6,0
4,7,1
4,8,1
4,9,0
4,10,2
4,11,1
4,12,0
4,13,0
4,14,1
4,15,0
4,16,2
4,17,1
4,18,1
4,19,1
4,20,2
4,21,2
4,22,2
4,23,2
4,24,1
4,25,0
4,26,2
4,27,2
4,28,0
4,29,2
4,30,2
4,31,0
4,32,1
4,33,0
4,34,2
4,35,1
4,36,2
4,37,2
4,38,1
4,39,1
4,40,0
4,41,0
4,42,1
4,43,2
4,44,0
4,45,1
4,46,2
4,47,1
4,48,2
4,49,1
4,50,2
5,1,1
5,2,2
5,3,1
5,4,0
5,5,2
5,6,1
5,7,2
5,8,0
5,9,2
5,10,1
5,11,0
5,12,0
5,13,1
5,14,0
5,15,2
5,16,1
5,17,0
5,18,2
5,19,0
5,20,1
5,21,2
5,22,2
5,23,2
5,24,1
5,25,0
5,26,2
5,27,1
5,28,0
5,29,2
5,30,1
