player_money,opponent_money,bet_amount,player_move,opponent_move,result
11000,9000,1000,1,0,1
12000,8000,1000,1,0,1
13000,7000,1000,1,0,1
12000,8000,1000,1,2,-1
11000,9000,1000,1,2,-1
12000,8000,1000,0,2,1
13000,7000,1000,0,2,1
12000,8000,1000,0,1,-1
13000,7000,1000,2,1,1
12000,8000,1000,2,0,-1
13000,7000,1000,1,0,1
12000,8000,1000,1,2,-1
12000,8000,1000,2,2,0
11000,9000,1000,0,1,-1
12000,8000,1000,2,1,1
12000,8000,1000,2,2,0
13000,7000,1000,0,2,1
14000,6000,1000,0,2,1
15000,5000,1000,0,2,1
16000,4000,1000,0,2,1
17000,3000,1000,0,2,1
16000,4000,1000,0,1,-1
17000,3000,1000,2,1,1
18000,2000,1000,2,1,1
17000,3000,1000,2,0,-1
18000,2000,1000,1,0,1
17000,3000,1000,1,2,-1
18000,2000,1000,0,2,1
18000,2000,1000,0,0,0
18000,2000,1000,1,1,0
17000,3000,1000,2,0,-1
11000,9000,1000,1,0,1
11000,9000,1000,1,1,0
11000,9000,1000,1,1,0
11000,9000,1000,1,1,0
11000,9000,1000,2,2,0
10000,10000,1000,0,1,-1
11000,9000,1000,2,1,1
11000,9000,1000,2,2,0
11000,9000,1000,0,0,0
11000,9000,1000,1,1,0
11000,9000,1000,2,2,0
10000,10000,1000,0,1,-1
11000,9000,1000,2,1,1
11000,9000,1000,2,2,0
12000,8000,1000,0,2,1
13000,7000,1000,0,2,1
12000,8000,1000,0,1,-1
13000,7000,1000,2,1,1
13000,7000,1000,2,2,0
12000,8000,1000,2,0,-1
11000,9000,1000,2,0,-1
12000,8000,1000,1,0,1
11000,9000,1000,1,2,-1
12000,8000,1000,0,2,1
11000,9000,1000,0,1,-1
12000,8000,1000,2,1,1
12000,8000,1000,2,2,0
12000,8000,1000,0,0,0
11000,9000,1000,1,2,-1
12000,8000,1000,0,2,1
12000,8000,1000,0,0,0
13000,7000,1000,1,0,1
14000,6000,1000,1,0,1
15000,5000,1000,1,0,1
14000,6000,1000,1,2,-1
15000,5000,1000,0,2,1
15000,5000,1000,0,0,0
15000,5000,1000,1,1,0
14000,6000,1000,2,0,-1
13000,7000,1000,2,0,-1
14000,6000,1000,1,0,1
14000,6000,1000,1,1,0
15000,5000,1000,2,1,1
16000,4000,1000,2,1,1
17000,3000,1000,2,1,1
16000,4000,1000,2,0,-1
17000,3000,1000,1,0,1
16000,4000,1000,1,2,-1
17000,3000,1000,0,2,1
16000,4000,1000,0,1,-1
17000,3000,1000,2,1,1
16000,4000,1000,2,0,-1
17000,3000,1000,1,0,1
16000,4000,1000,1,2,-1
17000,3000,1000,0,2,1
17000,3000,1000,0,0,0
18000,2000,1000,1,0,1
19000,1000,1000,1,0,1
20000,0,1000,1,0,1
9000,11000,1000,1,2,-1
8000,12000,1000,1,2,-1
7000,13000,1000,1,2,-1
6000,14000,1000,1,2,-1
9000,11000,1000,1,2,-1
10000,10000,1000,0,2,1
10000,10000,1000,1,1,0
9000,11000,1000,1,2,-1
8000,12000,1000,1,2,-1
7000,13000,1000,1,2,-1
